tconst;titleType;primaryTitle;originalTitle;isAdult;startYear;endYear;runtimeMinutes;genres;averageRating;numVotes
tt0000002;short;Le clown et ses chiens;Le clown et ses chiens;0;1892;\N;5;Animation,Short;6.0;233
tt0000004;short;Un bon bock;Un bon bock;0;1892;\N;12;Animation,Short;6.1;152
tt0000008;short;Edison Kinetoscopic Record of a Sneeze;Edison Kinetoscopic Record of a Sneeze;0;1894;\N;1;Documentary,Short;5.5;1965
tt0000015;short;Autour d'une cabine;Autour d'une cabine;0;1894;\N;2;Animation,Short;6.2;947
tt0000017;short;Italienischer Bauerntanz;Italienischer Bauerntanz;0;1895;\N;1;Documentary,Short;4.6;292
tt0000019;short;The Clown Barber;The Clown Barber;0;1898;\N;\N;Comedy,Short;5.3;28
tt0000051;short;The Bohemian Encampment;Campement de bohémiens;0;1896;\N;\N;Documentary,Short;3.7;31
tt0000058;short;Cortège de tzar au Bois de Boulogne;Cortège de tzar au Bois de Boulogne;0;1896;\N;\N;Documentary,Short;4.3;28
tt0000063;short;Dessinateur express;Dessinateur express;0;1896;\N;\N;Short;3.5;23
tt0000065;short;Dessinateur: Reine Victoria;Dessinateur: Reine Victoria;0;1896;\N;\N;Short;3.4;24
tt0000095;short;The Mysterious Paper;Le papier protée;0;1896;\N;\N;Short;4.8;31
tt0000101;short;Place du théâtre français;Place du théâtre français;0;1896;\N;\N;Documentary,Short;4.6;25
tt0000108;short;Rip Leaving Sleepy Hollow;Rip Leaving Sleepy Hollow;0;1896;\N;1;Drama,Short;4.4;509
tt0000142;short;Buffalo Bill and Escort;Buffalo Bill and Escort;0;1897;\N;\N;News,Short;4.7;28
tt0000145;short;En classe;En classe;0;1897;\N;\N;Comedy,Short;3.8;12
tt0000146;short;Le cocher de fiacre endormi;Le cocher de fiacre endormi;0;1897;\N;\N;Comedy,Short;5.1;25
tt0000169;short;Slagsmål i gamla Stockholm;Slagsmål i gamla Stockholm;0;1897;\N;1;Short;3.9;38
tt0000170;short;The Twins' Tea Party;The Twins' Tea Party;0;1896;\N;1;Comedy,Short;5.2;223
tt0000172;short;The X-Ray Fiend;The X-Ray Fiend;0;1897;\N;1;Comedy,Horror,Short;6.1;796
tt0000174;short;Výstavní párkar a lepic plakátù;Výstavní párkar a lepic plakátù;0;1898;\N;1;Comedy,Short;4.7;117
tt0000175;short;A Sea Cave Near Lisbon;A Sea Cave Near Lisbon;0;1896;\N;1;Documentary,Short;5.0;196
