id;titleType;primaryTitle;originalTitle;isAdult;startYear;endYear;runtimeMinutes;genres;averageRating;numVotes
tt0000002;SHORT;LE CLOWN ET SES CHIENS;LE CLOWN ET SES CHIENS;0;1892.0;;5.0;ANIMATION,SHORT;6.0;233.0
tt0000004;SHORT;UN BON BOCK;UN BON BOCK;0;1892.0;;12.0;ANIMATION,SHORT;6.1;152.0
tt0000008;SHORT;EDISON KINETOSCOPIC RECORD OF A SNEEZE;EDISON KINETOSCOPIC RECORD OF A SNEEZE;0;1894.0;;1.0;DOCUMENTARY,SHORT;5.5;1965.0
tt0000015;SHORT;AUTOUR D'UNE CABINE;AUTOUR D'UNE CABINE;0;1894.0;;2.0;ANIMATION,SHORT;6.2;947.0
tt0000017;SHORT;ITALIENISCHER BAUERNTANZ;ITALIENISCHER BAUERNTANZ;0;1895.0;;1.0;DOCUMENTARY,SHORT;4.6;292.0
tt0000019;SHORT;THE CLOWN BARBER;THE CLOWN BARBER;0;1898.0;;;COMEDY,SHORT;5.3;28.0
tt0000051;SHORT;THE BOHEMIAN ENCAMPMENT;CAMPEMENT DE BOHEMIENS;0;1896.0;;;DOCUMENTARY,SHORT;3.7;31.0
tt0000058;SHORT;CORTEGE DE TZAR AU BOIS DE BOULOGNE;CORTEGE DE TZAR AU BOIS DE BOULOGNE;0;1896.0;;;DOCUMENTARY,SHORT;4.3;28.0
tt0000063;SHORT;DESSINATEUR EXPRESS;DESSINATEUR EXPRESS;0;1896.0;;;SHORT;3.5;23.0
tt0000065;SHORT;DESSINATEUR: REINE VICTORIA;DESSINATEUR: REINE VICTORIA;0;1896.0;;;SHORT;3.4;24.0
tt0000095;SHORT;THE MYSTERIOUS PAPER;LE PAPIER PROTEE;0;1896.0;;;SHORT;4.8;31.0
tt0000101;SHORT;PLACE DU THEATRE FRANCAIS;PLACE DU THEATRE FRANCAIS;0;1896.0;;;DOCUMENTARY,SHORT;4.6;25.0
tt0000108;SHORT;RIP LEAVING SLEEPY HOLLOW;RIP LEAVING SLEEPY HOLLOW;0;1896.0;;1.0;DRAMA,SHORT;4.4;509.0
tt0000142;SHORT;BUFFALO BILL AND ESCORT;BUFFALO BILL AND ESCORT;0;1897.0;;;NEWS,SHORT;4.7;28.0
tt0000145;SHORT;EN CLASSE;EN CLASSE;0;1897.0;;;COMEDY,SHORT;3.8;12.0
tt0000146;SHORT;LE COCHER DE FIACRE ENDORMI;LE COCHER DE FIACRE ENDORMI;0;1897.0;;;COMEDY,SHORT;5.1;25.0
tt0000169;SHORT;SLAGSMAL I GAMLA STOCKHOLM;SLAGSMAL I GAMLA STOCKHOLM;0;1897.0;;1.0;SHORT;3.9;38.0
tt0000170;SHORT;THE TWINS' TEA PARTY;THE TWINS' TEA PARTY;0;1896.0;;1.0;COMEDY,SHORT;5.2;223.0
tt0000172;SHORT;THE X-RAY FIEND;THE X-RAY FIEND;0;1897.0;;1.0;COMEDY,HORROR,SHORT;6.1;796.0
tt0000174;SHORT;VYSTAVNI PARKAR A LEPIC PLAKATU;VYSTAVNI PARKAR A LEPIC PLAKATU;0;1898.0;;1.0;COMEDY,SHORT;4.7;117.0
tt0000175;SHORT;A SEA CAVE NEAR LISBON;A SEA CAVE NEAR LISBON;0;1896.0;;1.0;DOCUMENTARY,SHORT;5.0;196.0
tt0000186;SHORT;LE CUIRASSE MAINE;LE CUIRASSE MAINE;0;1898.0;;;SHORT,WAR;4.2;21.0
tt0000188;SHORT;THE DESERTER;THE DESERTER;0;1898.0;;;DRAMA,SHORT;4.0;11.0
tt0000195;SHORT;LES FARCES DE JOCKO;LES FARCES DE JOCKO;0;1898.0;;;COMEDY,SHORT;;
tt0000198;SHORT;LA FUITE EN EGYPTE;LA FUITE EN EGYPTE;0;1898.0;;1.0;SHORT;5.0;16.0
tt0000212;SHORT;SAIDA DO PAQUETE DUQUE DE BRAGANCA;SAIDA DO PAQUETE DUQUE DE BRAGANCA;0;1898.0;;;SHORT;;
tt0000214;SHORT;TEARING DOWN THE SPANISH FLAG;TEARING DOWN THE SPANISH FLAG;0;1898.0;;;SHORT,WAR;4.5;87.0
tt0000221;SHORT;ASPECTOS DA PRAIA DE CASCAIS;ASPECTOS DA PRAIA DE CASCAIS;0;1899.0;;;DOCUMENTARY,SHORT;;
tt0000231;SHORT;PORTUGUESE RAILWAY TRAIN;PORTUGUESE RAILWAY TRAIN;0;1896.0;;1.0;DOCUMENTARY,SHORT;3.6;15.0
tt0000242;SHORT;THE SIGN OF THE CROSS;LE DIABLE AU COUVENT;0;1899.0;;3.0;FANTASY,HORROR,SHORT;6.4;1074.0
tt0000254;SHORT;MONNAIE DE LAPIN;MONNAIE DE LAPIN;0;1899.0;;;COMEDY,SHORT;;
tt0000264;SHORT;SUMMONING THE SPIRITS;EVOCATION SPIRITE;0;1899.0;;1.0;FANTASY,HORROR,SHORT;5.7;404.0
tt0000267;SHORT;L'ANGELUS;L'ANGELUS;0;1900.0;;;SHORT;;
tt0000302;SHORT;LA FEE AUX CHOUX, OU LA NAISSANCE DES ENFANTS;LA FEE AUX CHOUX, OU LA NAISSANCE DES ENFANTS;0;1900.0;;1.0;SHORT;5.2;180.0
tt0000305;SHORT;L'HABANERA;L'HABANERA;0;1900.0;;;SHORT;;
tt0000314;SHORT;LECON DE DANSE;LECON DE DANSE;0;1900.0;;;SHORT;;
tt0000337;SHORT;SPANISH BULLFIGHT;SPANISH BULLFIGHT;0;1900.0;;1.0;SHORT,SPORT;5.0;345.0
tt0000357;SHORT;THE HAUNTED CURIOSITY SHOP;THE HAUNTED CURIOSITY SHOP;0;1901.0;;2.0;COMEDY,FANTASY,HORROR;5.8;417.0
tt0000358;SHORT;HISTORY OF A CRIME;HISTOIRE D'UN CRIME;0;1901.0;;5.0;CRIME,DRAMA,SHORT;6.2;652.0
tt0000372;SHORT;SCENE D'IVRESSE;SCENE D'IVRESSE;0;1901.0;;;SHORT;;
tt0000376;SHORT;A TANCZ;A TANCZ;0;1901.0;;;DOCUMENTARY,SHORT;7.3;17.0
tt0000379;SHORT;VISITA DE LA ESCUADRA INGLESA A BARCELONA;VISITA DE LA ESCUADRA INGLESA A BARCELONA;0;1901.0;;6.0;DOCUMENTARY,SHORT;5.2;10.0
tt0000395;SHORT;LA FIOLE ENCHANTEE;LA FIOLE ENCHANTEE;0;1902.0;;;SHORT;;
tt0000400;SHORT;LE LION SAVANT;LE LION SAVANT;0;1902.0;;;COMEDY,SHORT;6.4;16.0
tt0000401;SHORT;LE MARCHAND DE BALLONS;LE MARCHAND DE BALLONS;0;1902.0;;;COMEDY,SHORT;;
tt0000409;SHORT;MIDWIFE TO THE UPPER CLASSES;SAGE-FEMME DE PREMIERE CLASSE;0;1902.0;;4.0;COMEDY,SHORT;5.2;200.0
tt0000422;SHORT;LES AVENTURES D'UN VOYAGEUR TROP PRESSE;LES AVENTURES D'UN VOYAGEUR TROP PRESSE;0;1903.0;;;SHORT;6.0;9.0
tt0000423;SHORT;THE ENCHANTED BOX;LA BOITE A MALICE;0;1903.0;;1.0;FANTASY,SHORT;5.4;222.0
tt0000430;SHORT;A CHESS DISPUTE;A CHESS DISPUTE;0;1903.0;;1.0;COMEDY,SHORT;5.9;658.0
tt0000451;SHORT;MARY JANE'S MISHAP;MARY JANE'S MISHAP;0;1903.0;;4.0;COMEDY,SHORT;6.5;840.0
tt0000452;SHORT;THE MESSENGER BOY'S MISTAKE;THE MESSENGER BOY'S MISTAKE;0;1903.0;;2.0;COMEDY,ROMANCE,SHORT;4.7;104.0
tt0000455;SHORT;THE MUSIC LOVER;LE MELOMANE;0;1903.0;;3.0;COMEDY,MUSIC,SHORT;6.8;1756.0
tt0000485;SHORT;LA GAVOTTE DE LA REINE;LA GAVOTTE DE LA REINE;0;1904.0;;;SHORT;;
tt0000492;SHORT;PERSONAL;PERSONAL;0;1904.0;;6.0;COMEDY,SHORT;5.1;118.0
tt0000497;SHORT;A RAILWAY TRAGEDY;A RAILWAY TRAGEDY;0;1904.0;;5.0;CRIME,SHORT;5.2;75.0
tt0000504;SHORT;COSO Y PASEO DE SANTA ENGRACIA (CALLES Y PLAZAS DE ZARAGOZA);COSO Y PASEO DE SANTA ENGRACIA (CALLES Y PLAZAS DE ZARAGOZA);0;1905.0;;;DOCUMENTARY,SHORT;;
tt0000531;SHORT;LOS SITIOS DE CHILE;LOS SITIOS DE CHILE;0;1905.0;;;DRAMA,SHORT,WAR;;
tt0000541;SHORT;CAROS DOD;CAROS DOD;0;1906.0;;6.0;SHORT;;
tt0000549;SHORT;EN FORAERING TIL MIN KONE;EN FORAERING TIL MIN KONE;0;1906.0;;;SHORT;;
tt0000556;SHORT;HAEVNET;HAEVNET;0;1907.0;;;ROMANCE,SHORT;;
tt0000575;SHORT;20,000 LEAGUES UNDER THE SEA;20000 LIEUES SOUS LES MERS;0;1907.0;;10.0;ADVENTURE,FANTASY,SCI-FI;5.8;465.0
tt0000579;SHORT;THE BANDIT MAKES GOOD;THE BANDIT MAKES GOOD;0;1908.0;;;SHORT,WESTERN;;
tt0000608;SHORT;EN NY HAT TIL MADAMMEN;EN NY HAT TIL MADAMMEN;0;1906.0;;;COMEDY,SHORT;6.2;11.0
tt0000614;SHORT;THE RED SPECTRE;LE SPECTRE ROUGE;0;1907.0;;9.0;FANTASY,HORROR,SHORT;6.5;980.0
tt0000618;SHORT;SALAVIINANPOLTTAJAT;SALAVIINANPOLTTAJAT;0;1907.0;;20.0;COMEDY,SHORT;8.1;14.0
tt0000621;SHORT;THAT FATAL SNEEZE;THAT FATAL SNEEZE;0;1907.0;;6.0;COMEDY,FANTASY,SHORT;6.5;568.0
tt0000630;MOVIE;HAMLET;AMLETO;0;1908.0;;;DRAMA;3.8;23.0
tt0000640;SHORT;AN AWFUL MOMENT;AN AWFUL MOMENT;0;1908.0;;12.0;DRAMA,SHORT;4.3;130.0
tt0000644;SHORT;BEHIND THE SCENES;BEHIND THE SCENES;0;1908.0;;9.0;DRAMA,SHORT;5.5;62.0
tt0000648;SHORT;THE BLACK VIPER;THE BLACK VIPER;0;1908.0;;10.0;DRAMA,SHORT;4.7;151.0
tt0000658;SHORT;THE PUPPET'S NIGHTMARE;LE CAUCHEMAR DE FANTOCHE;0;1908.0;;2.0;ANIMATION,SHORT;6.5;212.0
tt0000667;SHORT;CORRIDA DE TOROS CON RICARDO TORRES 'BOMBITA';CORRIDA DE TOROS CON RICARDO TORRES 'BOMBITA';0;1908.0;;9.0;DOCUMENTARY,SHORT,SPORT;;
tt0000675;MOVIE;DON QUIJOTE;DON QUIJOTE;0;1908.0;;;DRAMA;4.9;19.0
tt0000681;SHORT;A FAMOUS ESCAPE;A FAMOUS ESCAPE;0;1908.0;;;DRAMA,SHORT;5.9;40.0
tt0000688;SHORT;THE FLOWER GIRL OF PARIS;THE FLOWER GIRL OF PARIS;0;1908.0;;;DRAMA,SHORT;;
tt0000703;SHORT;HULDA'S LOVERS;HULDA'S LOVERS;0;1908.0;;;COMEDY,SHORT;;
tt0000716;SHORT;LONESOME JUNCTION;LONESOME JUNCTION;0;1908.0;;;COMEDY,SHORT,WESTERN;;
tt0000717;SHORT;MACBETH;MACBETH;0;1908.0;;9.0;DRAMA,SHORT;5.9;18.0
tt0000725;SHORT;MIXED BABIES;MIXED BABIES;0;1908.0;;;COMEDY,SHORT;;
tt0000748;SHORT;THE RED MAN AND THE CHILD;THE RED MAN AND THE CHILD;0;1908.0;;14.0;ACTION,SHORT,WESTERN;5.9;26.0
tt0000750;SHORT;RICHARD III;RICHARD III;0;1908.0;;;DRAMA,SHORT;7.0;15.0
tt0000766;SHORT;THE STAGE-STRUCK DAUGHTER;THE STAGE-STRUCK DAUGHTER;0;1908.0;;;SHORT;;
tt0000779;SHORT;THE VAQUERO'S VOW;THE VAQUERO'S VOW;0;1908.0;;13.0;ACTION,ROMANCE,SHORT;5.7;16.0
tt0000788;SHORT;THE YELLOW PERIL;THE YELLOW PERIL;0;1908.0;;;COMEDY,SHORT;;
tt0000806;SHORT;THE BEST MAN WINS;THE BEST MAN WINS;0;1909.0;;;SHORT,WESTERN;;
tt0000810;SHORT;THE BLACK SHEEP;THE BLACK SHEEP;0;1909.0;;;DRAMA,SHORT;;
tt0000822;SHORT;CELOS GITANOS;CELOS GITANOS;0;1909.0;;24.0;SHORT;;
tt0000824;SHORT;A CHILD OF THE FOREST;A CHILD OF THE FOREST;0;1909.0;;;DRAMA,SHORT;;
tt0000825;SHORT;THE CHILDREN'S FRIEND;THE CHILDREN'S FRIEND;0;1909.0;;4.0;DRAMA,SHORT;4.8;55.0
tt0000830;SHORT;CORAZON DE MADRE;CORAZON DE MADRE;0;1909.0;;12.0;DRAMA,SHORT;;
tt0000839;SHORT;THE CURSE OF MONEY;THE CURSE OF MONEY;0;1909.0;;;DRAMA,SHORT;;
tt0000840;SHORT;THE CURTAIN POLE;THE CURTAIN POLE;0;1909.0;;13.0;COMEDY,SHORT;5.6;312.0
tt0000849;SHORT;DOS GUAPOS FRENTE A FRENTE;DOS GUAPOS FRENTE A FRENTE;0;1909.0;;;COMEDY,SHORT;;
tt0000861;SHORT;A FAIR EXCHANGE;A FAIR EXCHANGE;0;1909.0;;11.0;DRAMA,SHORT;5.3;59.0
tt0000862;MOVIE;FALDGRUBEN;FALDGRUBEN;0;1909.0;;;;5.1;16.0
tt0000866;SHORT;FELLOW CLERKS;FELLOW CLERKS;0;1909.0;;;CRIME,DRAMA,SHORT;6.3;9.0
tt0000880;SHORT;THE GIRLS AND DADDY;THE GIRLS AND DADDY;0;1909.0;;15.0;DRAMA,SHORT;5.9;75.0
tt0000895;SHORT;THE HESSIAN RENEGADES;THE HESSIAN RENEGADES;0;1909.0;;10.0;DRAMA,SHORT,WAR;5.6;190.0
tt0000901;SHORT;HIS WIFE'S MOTHER;HIS WIFE'S MOTHER;0;1909.0;;6.0;COMEDY,SHORT;4.7;23.0
tt0000904;SHORT;THE HOUSE OF CARDS;THE HOUSE OF CARDS;0;1909.0;;16.0;DRAMA,SHORT,WESTERN;5.3;107.0
tt0000908;SHORT;IN OLD KENTUCKY;IN OLD KENTUCKY;0;1909.0;;11.0;DRAMA,SHORT,WAR;5.9;30.0
tt0000914;SHORT;INDUSTRIA DEL CORCHO;INDUSTRIA DEL CORCHO;0;1909.0;;7.0;SHORT;;
tt0000918;SHORT;JESSIE, THE STOLEN CHILD;JESSIE, THE STOLEN CHILD;0;1909.0;;;DRAMA,SHORT;;
tt0000941;MOVIE;LOCURA DE AMOR;LOCURA DE AMOR;0;1909.0;;;DRAMA;4.8;23.0
tt0000982;SHORT;THE NEW SERVANT;THE NEW SERVANT;0;1909.0;;;COMEDY,SHORT;;
tt0001006;SHORT;PRIMERA CARRERA INTERNACIONAL DE AUTOMOVILES 'PENA-RHIN';PRIMERA CARRERA INTERNACIONAL DE AUTOMOVILES 'PENA-RHIN';0;1909.0;;10.0;SHORT;;
tt0001030;SHORT;SAUL AND DAVID;SAUL AND DAVID;0;1909.0;;10.0;DRAMA,SHORT;;
tt0001033;SHORT;THE SEVENTH DAY;THE SEVENTH DAY;0;1909.0;;8.0;DRAMA,SHORT;5.1;17.0
tt0001037;SHORT;SHERLOCK HOLMES V;SHERLOCK HOLMES V;0;1909.0;;;DRAMA,SHORT;3.9;18.0
tt0001042;SHORT;THE SLEEPWALKER;THE SLEEPWALKER;0;1909.0;;;CRIME,SHORT;;
tt0001045;SHORT;LE SONGE D'UNE NUIT D'ETE;LE SONGE D'UNE NUIT D'ETE;0;1910.0;;11.0;COMEDY,SHORT;5.6;14.0
tt0001047;SHORT;THE SPANISH GIRL;THE SPANISH GIRL;0;1909.0;;;SHORT,WESTERN;;
tt0001051;MOVIE;EL SUENO MILAGROSO;EL SUENO MILAGROSO;0;1909.0;;;;;
tt0001059;MOVIE;O TERREMOTO DE BENAVENTE;O TERREMOTO DE BENAVENTE;0;1909.0;;;DOCUMENTARY;;
tt0001072;SHORT;A TRAP FOR SANTA CLAUS;A TRAP FOR SANTA CLAUS;0;1909.0;;16.0;DRAMA,SHORT;5.6;314.0
tt0001073;SHORT;THE TREACHEROUS POLICEMAN;THE TREACHEROUS POLICEMAN;0;1909.0;;;CRIME,SHORT;;
tt0001074;SHORT;THE TRICK THAT FAILED;THE TRICK THAT FAILED;0;1909.0;;7.0;DRAMA,SHORT;6.0;20.0
tt0001082;MOVIE;VIERNES DE DOLORES;VIERNES DE DOLORES;0;1909.0;;;;;
tt0001097;SHORT;A WOMAN'S VANITY;A WOMAN'S VANITY;0;1909.0;;;DRAMA,SHORT;;
tt0001112;MOVIE;AMLETO;AMLETO;0;1910.0;;;DRAMA;3.7;36.0
tt0001120;SHORT;AS IT IS IN LIFE;AS IT IS IN LIFE;0;1910.0;;16.0;DRAMA,SHORT;5.6;224.0
tt0001123;SHORT;AWAY OUT WEST;AWAY OUT WEST;0;1910.0;;;SHORT,WESTERN;;
tt0001134;SHORT;BRITON AND BOER;BRITON AND BOER;0;1909.0;;;ACTION,SHORT,WAR;;
tt0001143;SHORT;THE CALL TO ARMS;THE CALL TO ARMS;0;1910.0;;17.0;DRAMA,SHORT;4.7;51.0
tt0001163;MOVIE;CORRIDA DA RAMPA;CORRIDA DA RAMPA;0;1910.0;;;DOCUMENTARY;;
tt0001170;SHORT;A COWBOY'S VINDICATION;A COWBOY'S VINDICATION;0;1910.0;;;SHORT,WESTERN;;
tt0001180;SHORT;THE DESPERADO;THE DESPERADO;0;1910.0;;;SHORT,WESTERN;;
tt0001187;SHORT;THE DUKE'S PLAN;THE DUKE'S PLAN;0;1910.0;;11.0;DRAMA,SHORT;4.4;39.0
tt0001190;SHORT;DODEN;DODEN;0;1910.0;;;DRAMA,SHORT;6.6;13.0
tt0001192;SHORT;THE ELECTRICAL VITALIZER;THE ELECTRICAL VITALIZER;0;1910.0;;9.0;COMEDY,SHORT;;
tt0001194;SHORT;ELSKOVSLEG;ELSKOVSLEG;0;1910.0;;;SHORT;;
tt0001209;SHORT;UNA FARSA DE COLAS;UNA FARSA DE COLAS;0;1910.0;;;COMEDY,SHORT;;
tt0001220;SHORT;THE FLOWER OF THE RANCH;THE FLOWER OF THE RANCH;0;1910.0;;;SHORT,WESTERN;;
tt0001223;SHORT;FRANKENSTEIN;FRANKENSTEIN;0;1910.0;;16.0;FANTASY,HORROR,SCI-FI;6.4;3929.0
tt0001234;SHORT;GOLD IS NOT ALL;GOLD IS NOT ALL;0;1910.0;;16.0;DRAMA,SHORT;5.4;43.0
